run,layout,strength,point,point_amplitude,sampled_pixels,mean_raw_power,baseline_mean_raw_power,power_ratio_to_baseline,fraction_depth_bins_below_baseline
original_1,original,1.0,0,1.0,12,2.825490367832756e-06,2.8389974023251204e-06,0.9952423223489736,0.49375
original_1,original,1.0,1,1.0,12,1.5711390148291016e-06,1.6892408415071022e-06,0.9300858564533445,0.6875
original_1,original,1.0,2,1.0,12,9.261253519156014e-07,9.74400161873045e-07,0.9504568945630644,0.59375
original_1,original,1.0,3,1.0,12,6.390483472272417e-07,7.198479714238796e-07,0.8877545990206598,0.725
original_1,original,1.0,4,1.0,12,1.3028119545501174e-06,1.3377266812683841e-06,0.9738999548957478,0.6625
original_1,original,1.0,5,1.0,16,8.549684283652957e-07,8.917154136604741e-07,0.9587906806002906,0.6375
original_1,original,1.0,6,1.0,12,8.059862815793227e-07,8.912128668457354e-07,0.904370113541948,0.56875
original_1,original,1.0,7,1.0,16,1.1149394502148536e-06,1.1973918807737548e-06,0.9311399785794269,0.7375
original_4,original,4.0,0,4.0,12,2.0111695530712654e-06,2.8389974023251204e-06,0.7084083808685879,0.75
original_4,original,4.0,1,4.0,12,8.83404387342892e-07,1.6892408415071022e-06,0.5229594061642143,0.925
original_4,original,4.0,2,4.0,12,5.171537785843421e-07,9.74400161873045e-07,0.5307406533987444,0.8
original_4,original,4.0,3,4.0,12,3.538029009577695e-07,7.198479714238796e-07,0.4914966979179471,0.9375
original_4,original,4.0,4,4.0,12,1.0637231788160202e-06,1.3377266812683841e-06,0.7951722827322517,0.73125
original_4,original,4.0,5,4.0,16,5.446937332945092e-07,8.917154136604741e-07,0.6108380823636906,0.875
original_4,original,4.0,6,4.0,12,4.1416549858003226e-07,8.912128668457354e-07,0.464721183891662,0.90625
original_4,original,4.0,7,4.0,16,6.316912640817338e-07,1.1973918807737548e-06,0.5275559941775577,0.90625
original_8,original,8.0,0,8.0,12,1.0459224054724041e-06,2.8389974023251204e-06,0.36841259686106104,0.9375
original_8,original,8.0,1,8.0,12,3.8456505039557386e-07,1.6892408415071022e-06,0.22765554854361303,0.98125
original_8,original,8.0,2,8.0,12,2.440614738158247e-07,9.74400161873045e-07,0.2504735563125077,0.98125
original_8,original,8.0,3,8.0,12,2.1438944867632157e-07,7.198479714238796e-07,0.2978260093617451,0.93125
original_8,original,8.0,4,8.0,12,7.212522212391971e-07,1.3377266812683841e-06,0.5391626191946264,0.875
original_8,original,8.0,5,8.0,16,2.6160002915581024e-07,8.917154136604741e-07,0.2933671720240287,1.0
original_8,original,8.0,6,8.0,12,1.7447421453858472e-07,8.912128668457354e-07,0.1957716512286232,0.9875
original_8,original,8.0,7,8.0,16,3.084872729430161e-07,1.1973918807737548e-06,0.2576326747294057,0.975
random_101_1,random_101,1.0,0,1.394798203082797,12,5.831642902742525e-07,6.32096805391256e-07,0.922586991897997,0.75
random_101_1,random_101,1.0,1,1.0736325238146747,12,6.476796709372505e-07,6.73040595492215e-07,0.962318878348761,0.64375
random_101_1,random_101,1.0,2,0.8903082576531773,9,8.366549481581561e-07,9.726121014356663e-07,0.8602144132518764,0.8125
random_101_1,random_101,1.0,3,0.854679037214903,9,8.3589267676056e-07,8.815730039385912e-07,0.9481831601308731,0.5
random_101_1,random_101,1.0,4,1.1519730194604052,9,5.906955011176541e-07,6.225491425679069e-07,0.9488335309259892,0.625
random_101_1,random_101,1.0,5,0.8470284246126759,12,7.314377298400215e-07,7.805551299918694e-07,0.9370737590919944,0.65625
random_101_1,random_101,1.0,6,1.0075799081491699,9,1.166853130960096e-06,1.2326337633594472e-06,0.9466340819514215,0.73125
random_101_1,random_101,1.0,7,0.8709357027103111,9,1.1540047804358006e-06,1.1827517195943893e-06,0.9756948658942156,0.64375
random_101_4,random_101,4.0,0,5.579192812331188,12,3.038286459307081e-07,6.32096805391256e-07,0.4806679029846448,0.94375
random_101_4,random_101,4.0,1,4.294530095258699,12,3.576543793537324e-07,6.73040595492215e-07,0.5314009017422923,0.89375
random_101_4,random_101,4.0,2,3.5612330306127093,9,4.2229131436257495e-07,9.726121014356663e-07,0.4341826651542106,0.9375
random_101_4,random_101,4.0,3,3.418716148859612,9,5.460940490303842e-07,8.815730039385912e-07,0.6194541423008731,0.78125
random_101_4,random_101,4.0,4,4.607892077841621,9,3.0742719657779827e-07,6.225491425679069e-07,0.4938199662595543,0.825
random_101_4,random_101,4.0,5,3.3881136984507036,12,4.6941270291056447e-07,7.805551299918694e-07,0.6013831501119646,0.79375
random_101_4,random_101,4.0,6,4.0303196325966795,9,8.998817402166432e-07,1.2326337633594472e-06,0.7300479404069589,0.8625
random_101_4,random_101,4.0,7,3.4837428108412443,9,9.871119249877297e-07,1.1827517195943893e-06,0.8345892959904113,0.75625
random_101_8,random_101,8.0,0,11.158385624662376,12,1.2836893604755077e-07,6.32096805391256e-07,0.20308429808958273,1.0
random_101_8,random_101,8.0,1,8.589060190517397,12,1.4544959830108622e-07,6.73040595492215e-07,0.21610820992857718,0.9875
random_101_8,random_101,8.0,2,7.122466061225419,9,1.9467734825446072e-07,9.726121014356663e-07,0.20015929060218232,1.0
random_101_8,random_101,8.0,3,6.837432297719224,9,2.6809154195457537e-07,8.815730039385912e-07,0.30410588885642664,0.9125
random_101_8,random_101,8.0,4,9.215784155683242,9,1.228611245415184e-07,6.225491425679069e-07,0.19735168863093708,0.9625
random_101_8,random_101,8.0,5,6.776227396901407,12,2.3339192761278967e-07,7.805551299918694e-07,0.29900761476671195,0.8875
random_101_8,random_101,8.0,6,8.060639265193359,9,5.816860747674937e-07,1.2326337633594472e-06,0.47190503137132445,0.9375
random_101_8,random_101,8.0,7,6.9674856216824885,9,7.12933819050825e-07,1.1827517195943893e-06,0.602775550641615,0.89375
random_102_1,random_102,1.0,0,1.4242554505951135,12,8.880430861312268e-07,9.524225188595797e-07,0.9324045458254808,0.6125
random_102_1,random_102,1.0,1,1.494365591718783,12,9.460494652201148e-07,9.82242013983398e-07,0.9631531249447298,0.5875
random_102_1,random_102,1.0,2,1.4222445777988901,12,6.946057353155696e-07,7.709531829306435e-07,0.9009700597838478,0.70625
random_102_1,random_102,1.0,3,0.6623095721330464,9,1.1735321327656673e-06,1.210756523945861e-06,0.969255262768373,0.59375
random_102_1,random_102,1.0,4,1.090071113443157,12,7.011751507325204e-07,7.198479714238796e-07,0.9740600495762683,0.56875
random_102_1,random_102,1.0,5,1.2256430750639884,9,8.842146995796681e-07,9.038923253346181e-07,0.9782301218813142,0.65625
random_102_1,random_102,1.0,6,1.4189663138877315,12,1.3468277252121054e-06,1.4241685629533224e-06,0.9456940422973289,0.60625
random_102_1,random_102,1.0,7,0.6464104202271312,12,8.557003120378114e-07,9.091487320183661e-07,0.9412104773419242,0.75625
random_102_4,random_102,4.0,0,5.697021802380454,12,4.241298769472667e-07,9.524225188595797e-07,0.4453169350249248,0.925
random_102_4,random_102,4.0,1,5.977462366875132,12,7.064464103440681e-07,9.82242013983398e-07,0.7192182784761317,0.75
random_102_4,random_102,4.0,2,5.6889783111955605,12,2.8541995985559257e-07,7.709531829306435e-07,0.3702169809723317,0.95
random_102_4,random_102,4.0,3,2.6492382885321857,9,8.846353234215647e-07,1.210756523945861e-06,0.7306467534352276,0.78125
random_102_4,random_102,4.0,4,4.360284453772628,12,4.0290179083567627e-07,7.198479714238796e-07,0.5597040025531018,0.85625
random_102_4,random_102,4.0,5,4.902572300255954,9,7.349841812716202e-07,9.038923253346181e-07,0.8131324502611873,0.75625
random_102_4,random_102,4.0,6,5.675865255550926,12,9.466671590449927e-07,1.4241685629533224e-06,0.664715668966792,0.775
random_102_4,random_102,4.0,7,2.585641680908525,12,5.661661013934533e-07,9.091487320183661e-07,0.6227431018206776,0.90625
random_102_8,random_102,8.0,0,11.394043604760908,12,1.949906806398012e-07,9.524225188595797e-07,0.2047312792155323,0.99375
random_102_8,random_102,8.0,1,11.954924733750264,12,4.1626321037533686e-07,9.82242013983398e-07,0.4237888467906369,0.9625
random_102_8,random_102,8.0,2,11.377956622391121,12,1.0474809648899668e-07,7.709531829306435e-07,0.1358682975933962,1.0
random_102_8,random_102,8.0,3,5.298476577064371,9,5.110381451402528e-07,1.210756523945861e-06,0.422081677887456,0.925
random_102_8,random_102,8.0,4,8.720568907545257,12,2.030455968814084e-07,7.198479714238796e-07,0.28206733218929336,0.9625
random_102_8,random_102,8.0,5,9.805144600511907,9,4.933961008300337e-07,9.038923253346181e-07,0.545857163514891,0.8875
random_102_8,random_102,8.0,6,11.351730511101852,12,5.329155221669082e-07,1.4241685629533224e-06,0.3741941340579743,0.925
random_102_8,random_102,8.0,7,5.17128336181705,12,2.776358127056305e-07,9.091487320183661e-07,0.3053799702159425,0.9875
random_103_1,random_103,1.0,0,0.8094590427059271,16,8.508863438235698e-07,9.400852734650954e-07,0.9051161291860855,0.76875
random_103_1,random_103,1.0,1,0.6118076195251159,9,9.306015790660785e-07,9.616516670391566e-07,0.9677117099285247,0.65625
random_103_1,random_103,1.0,2,0.7532393882932408,12,9.33496272849417e-07,9.35342562096588e-07,0.998026082291142,0.51875
random_103_1,random_103,1.0,3,0.5558710227115243,9,1.0022536838345506e-06,1.0375166741183251e-06,0.9660121218642188,0.5625
random_103_1,random_103,1.0,4,1.42211611563944,9,1.2494122208024702e-06,1.285465275257126e-06,0.9719533034858183,0.61875
random_103_1,random_103,1.0,5,1.1488396141222255,9,7.527448252181572e-07,7.912294810119422e-07,0.9513609430420048,0.56875
random_103_1,random_103,1.0,6,0.6963117671046394,9,9.318789295503934e-07,9.736694158283506e-07,0.9570793889603649,0.69375
random_103_1,random_103,1.0,7,0.5367545424941946,9,7.094192428555589e-07,7.214114646816293e-07,0.9833767240844131,0.63125
random_103_4,random_103,4.0,0,3.2378361708237082,16,5.107822286445341e-07,9.400852734650954e-07,0.5433360601021042,0.8625
random_103_4,random_103,4.0,1,2.4472304781004635,9,6.926945288789991e-07,9.616516670391566e-07,0.7203175043742673,0.89375
random_103_4,random_103,4.0,2,3.012957553172963,12,6.249742345449948e-07,9.35342562096588e-07,0.6681768368843425,0.8375
random_103_4,random_103,4.0,3,2.2234840908460973,9,8.169475887501708e-07,1.0375166741183251e-06,0.7874067078916177,0.73125
random_103_4,random_103,4.0,4,5.68846446255776,9,8.81764502900058e-07,1.285465275257126e-06,0.6859496867573358,0.79375
random_103_4,random_103,4.0,5,4.595358456488902,9,4.1485062400212825e-07,7.912294810119422e-07,0.524311383685496,0.85625
random_103_4,random_103,4.0,6,2.7852470684185575,9,6.347200439745892e-07,9.736694158283506e-07,0.6518845448530395,0.89375
random_103_4,random_103,4.0,7,2.1470181699767785,9,6.376566059414829e-07,7.214114646816293e-07,0.8839014032344097,0.775
random_103_8,random_103,8.0,0,6.4756723416474165,16,2.8424810394649555e-07,9.400852734650954e-07,0.30236417053824793,0.91875
random_103_8,random_103,8.0,1,4.894460956200927,9,3.907963656229653e-07,9.616516670391566e-07,0.4063803755742388,0.95
random_103_8,random_103,8.0,2,6.025915106345926,12,3.1935412004684037e-07,9.35342562096588e-07,0.34143011660989964,0.94375
random_103_8,random_103,8.0,3,4.446968181692195,9,5.607458682327191e-07,1.0375166741183251e-06,0.5404692591656295,0.8125
random_103_8,random_103,8.0,4,11.37692892511552,9,4.498495233915454e-07,1.285465275257126e-06,0.34995073927731263,0.9625
random_103_8,random_103,8.0,5,9.190716912977804,9,1.7482520208899166e-07,7.912294810119422e-07,0.220953852560447,0.9625
random_103_8,random_103,8.0,6,5.570494136837115,9,3.10598348111209e-07,9.736694158283506e-07,0.318997745088837,0.98125
random_103_8,random_103,8.0,7,4.294036339953557,9,5.043616644657927e-07,7.214114646816293e-07,0.6991317565051115,0.85
