seed,experiment,split,signal_shift_sd,auc
0,site_identity_only,random_patches,0.0,1.0
0,site_identity_only,held_out_sites,0.0,0.4034375
0,matched_sites_planted_signal,held_out_sites,0.0,0.49009921875
0,matched_sites_planted_signal,held_out_sites,0.3,0.571959765625
0,matched_sites_planted_signal,held_out_sites,1.0,0.7539980468749999
0,matched_sites_planted_signal,held_out_sites,2.0,0.9214707031250001
1,site_identity_only,random_patches,0.0,1.0
1,site_identity_only,held_out_sites,0.0,0.495
1,matched_sites_planted_signal,held_out_sites,0.0,0.49545976562500005
1,matched_sites_planted_signal,held_out_sites,0.3,0.58685625
1,matched_sites_planted_signal,held_out_sites,1.0,0.759834375
1,matched_sites_planted_signal,held_out_sites,2.0,0.919269140625
2,site_identity_only,random_patches,0.0,1.0
2,site_identity_only,held_out_sites,0.0,0.39375
2,matched_sites_planted_signal,held_out_sites,0.0,0.50261796875
2,matched_sites_planted_signal,held_out_sites,0.3,0.5751496093749999
2,matched_sites_planted_signal,held_out_sites,1.0,0.754004296875
2,matched_sites_planted_signal,held_out_sites,2.0,0.9174167968750001
3,site_identity_only,random_patches,0.0,1.0
3,site_identity_only,held_out_sites,0.0,0.5375000000000001
3,matched_sites_planted_signal,held_out_sites,0.0,0.4876625
3,matched_sites_planted_signal,held_out_sites,0.3,0.57734921875
3,matched_sites_planted_signal,held_out_sites,1.0,0.7563632812500001
3,matched_sites_planted_signal,held_out_sites,2.0,0.9206500000000001
4,site_identity_only,random_patches,0.0,1.0
4,site_identity_only,held_out_sites,0.0,0.49343750000000003
4,matched_sites_planted_signal,held_out_sites,0.0,0.490355078125
4,matched_sites_planted_signal,held_out_sites,0.3,0.5833257812499999
4,matched_sites_planted_signal,held_out_sites,1.0,0.7595999999999999
4,matched_sites_planted_signal,held_out_sites,2.0,0.9191378906250001
5,site_identity_only,random_patches,0.0,1.0
5,site_identity_only,held_out_sites,0.0,0.5784374999999999
5,matched_sites_planted_signal,held_out_sites,0.0,0.49734765625
5,matched_sites_planted_signal,held_out_sites,0.3,0.5686648437499999
5,matched_sites_planted_signal,held_out_sites,1.0,0.747294140625
5,matched_sites_planted_signal,held_out_sites,2.0,0.91551171875
6,site_identity_only,random_patches,0.0,1.0
6,site_identity_only,held_out_sites,0.0,0.568125
6,matched_sites_planted_signal,held_out_sites,0.0,0.4955484375
6,matched_sites_planted_signal,held_out_sites,0.3,0.58601015625
6,matched_sites_planted_signal,held_out_sites,1.0,0.762271484375
6,matched_sites_planted_signal,held_out_sites,2.0,0.9230734375
7,site_identity_only,random_patches,0.0,1.0
7,site_identity_only,held_out_sites,0.0,0.58875
7,matched_sites_planted_signal,held_out_sites,0.0,0.49023906249999993
7,matched_sites_planted_signal,held_out_sites,0.3,0.587498046875
7,matched_sites_planted_signal,held_out_sites,1.0,0.761956640625
7,matched_sites_planted_signal,held_out_sites,2.0,0.9199140625
8,site_identity_only,random_patches,0.0,1.0
8,site_identity_only,held_out_sites,0.0,0.526875
8,matched_sites_planted_signal,held_out_sites,0.0,0.5049222656249999
8,matched_sites_planted_signal,held_out_sites,0.3,0.572399609375
8,matched_sites_planted_signal,held_out_sites,1.0,0.7501039062499999
8,matched_sites_planted_signal,held_out_sites,2.0,0.9137761718749999
9,site_identity_only,random_patches,0.0,1.0
9,site_identity_only,held_out_sites,0.0,0.515
9,matched_sites_planted_signal,held_out_sites,0.0,0.49427382812500004
9,matched_sites_planted_signal,held_out_sites,0.3,0.589791015625
9,matched_sites_planted_signal,held_out_sites,1.0,0.7631921875000001
9,matched_sites_planted_signal,held_out_sites,2.0,0.9198832031249999
