local_row,local_col,injected_row_px,injected_col_px,measured_row_px,measured_col_px,error_px
32,32,0.0,0.0,-1.8059129417329565e-09,-9.16687608191384e-09,9.34306901688533e-09
32,143,0.0,0.0,2.000307333730604e-09,-4.3580936824403164e-09,4.795227833409236e-09
32,255,0.0,0.0,3.413214243159987e-09,-2.9979734255578216e-09,4.542892925225192e-09
32,367,0.0,0.0,7.287563816286714e-09,-4.5271576437883314e-09,8.579262363872694e-09
32,479,0.0,0.0,-9.205217205711289e-09,-4.325133312102839e-09,1.0170683456473553e-08
143,32,0.0,0.0,2.683789117150213e-09,4.3853821924486397e-10,2.7193822451197217e-09
143,143,0.0,0.0,3.1055259834321477e-09,1.3917753013939636e-09,3.4031353372063338e-09
143,255,0.0,0.0,3.845337258825278e-09,-3.771728342488069e-09,5.386330227867365e-09
143,367,0.0,0.0,-8.50795805544475e-10,8.721859519769862e-09,8.763257783800055e-09
143,479,0.0,0.0,1.4806110467080073e-09,-5.21330276107197e-09,5.419477350283366e-09
255,32,0.0,0.0,-1.3885052607350252e-09,6.469057989140298e-09,6.616393135685693e-09
255,143,0.0,0.0,1.1361010216230882e-09,1.667416635988574e-09,2.017672859832455e-09
255,255,0.0,0.0,-6.296789206591425e-09,3.841989216070022e-09,7.376342958990221e-09
255,367,0.0,0.0,-2.2724550065161263e-09,1.4814604747719044e-09,2.7127065626329e-09
255,479,0.0,0.0,7.371137649549732e-09,8.29407891180633e-09,1.1096189221704901e-08
367,32,0.0,0.0,-7.505254725366401e-10,4.746092050891684e-10,8.879990892347352e-10
367,143,0.0,0.0,1.7242820956940408e-09,-4.348919163687252e-09,4.678273895125986e-09
367,255,0.0,0.0,5.578897899449648e-10,-2.510250244077165e-09,2.5714970942262996e-09
367,367,0.0,0.0,8.633976896856225e-11,-8.13906732514024e-09,8.139525261271142e-09
367,479,0.0,0.0,4.830864312432644e-09,-8.056034048968016e-11,4.83153598492189e-09
479,32,0.0,0.0,-2.5924906481758507e-09,-1.1749739751614999e-08,1.2032347733986121e-08
479,143,0.0,0.0,4.754468834349851e-09,-7.736995533961546e-09,9.081083293822655e-09
